TaskID,TaskName,Planned_Start,Planned_Finish,Planned_Records,Planned_Elements,Observed_Records,Observed_Elements,Late_Records,Delayed_Elements,Observation_Coverage_Percent,Observed_Delay_Rate_Percent,Planned_Duration_Days,Task_Coverage_Status,Task_Delay_Status
ST00060,Stellen bruggetjes,2015-02-26,2015-02-27,1,1,1,1,0,0,100.0,0.0,2,Fully observed,No late elements recorded
ST00070,Nuts invoeren,2015-03-02,2015-03-04,1,1,1,1,0,0,100.0,0.0,3,Fully observed,No late elements recorded
ST00080,Werkvloer liftput,2015-03-03,2015-03-03,1,1,1,1,0,0,100.0,0.0,1,Fully observed,No late elements recorded
ST00090,Wapening liftvloer,2015-03-04,2015-03-04,1,1,1,1,0,0,100.0,0.0,1,Fully observed,No late elements recorded
ST00100,Bekisten liftvloer,2015-03-04,2015-03-04,1,1,1,1,0,0,100.0,0.0,1,Fully observed,No late elements recorded
ST00110,Stort liftvloer,2015-03-05,2015-03-05,1,1,1,1,0,0,100.0,0.0,1,Fully observed,No late elements recorded
ST00130,Bekisten liftwanden,2015-03-06,2015-03-06,17,17,17,17,0,0,100.0,0.0,1,Fully observed,No late elements recorded
ST00140,Wapening liftwanden,2015-03-09,2015-03-09,17,17,17,17,0,0,100.0,0.0,1,Fully observed,No late elements recorded
ST00150,Stort liftwanden,2015-03-10,2015-03-10,17,17,17,17,0,0,100.0,0.0,1,Fully observed,No late elements recorded
ST00200,Stellen funderingkist incl. poeren,2015-03-12,2015-03-20,32,32,32,32,0,0,100.0,0.0,9,Fully observed,No late elements recorded
ST00210,Wapening,2015-03-19,2015-03-24,32,32,32,32,0,0,100.0,0.0,6,Fully observed,No late elements recorded
ST00230,Stort,2015-03-25,2015-03-25,32,32,32,32,0,0,100.0,0.0,1,Fully observed,No late elements recorded
ST00250,Opstorten fundering,2015-03-26,2015-04-02,39,39,39,39,0,0,100.0,0.0,8,Fully observed,No late elements recorded
ST00310,Stelwerk metselwerk onder peil,2015-04-07,2015-04-07,50,50,50,50,0,0,100.0,0.0,1,Fully observed,No late elements recorded
ST00320,Metselwerk onderpeil (buitenblad),2015-04-08,2015-04-14,50,50,50,50,0,0,100.0,0.0,7,Fully observed,No late elements recorded
ST00350,Kanaalplaatvloer leggen (lev. week 16),2015-04-13,2015-04-13,51,51,51,51,0,0,100.0,0.0,1,Fully observed,No late elements recorded
ST00370,Afstorten kanaalplaat,2015-04-16,2015-04-16,27,27,27,27,0,0,100.0,0.0,1,Fully observed,No late elements recorded
ST00420,Plaatsen stalen kolommen,2015-04-20,2015-04-20,5,5,5,5,0,0,100.0,0.0,1,Fully observed,No late elements recorded
ST00460,Stelwerk kalkzandsteen,2015-04-21,2015-04-21,24,24,24,24,0,0,100.0,0.0,1,Fully observed,No late elements recorded
ST00490,Lijmwerk kalkzandsteen elementen,2015-04-22,2015-04-24,24,24,24,24,0,0,100.0,0.0,3,Fully observed,No late elements recorded
ST00560,Leggen breedplaat incl. Veiligheid,2015-05-01,2015-05-04,23,23,23,23,0,0,100.0,0.0,4,Fully observed,No late elements recorded
ST00600,Randkist,2015-05-07,2015-05-08,23,23,23,23,0,0,100.0,0.0,2,Fully observed,No late elements recorded
ST00660,Installateurs,2015-05-07,2015-05-12,23,23,23,23,0,0,100.0,0.0,6,Fully observed,No late elements recorded
ST00630,Stalen balken,2015-05-11,2015-05-11,27,27,27,27,0,0,100.0,0.0,1,Fully observed,No late elements recorded
ST00690,Wapening,2015-05-13,2015-05-14,23,23,23,23,0,0,100.0,0.0,2,Fully observed,No late elements recorded
ST00730,Stort,2015-05-19,2015-05-19,23,23,23,23,0,0,100.0,0.0,1,Fully observed,No late elements recorded
ST00430,Prefab trappen en bordes ,2015-05-21,2015-05-21,9,9,9,9,0,0,100.0,0.0,1,Fully observed,No late elements recorded
ST00470,Stelwerk kalkzandsteen,2015-05-22,2015-05-22,50,50,50,50,0,0,100.0,0.0,1,Fully observed,No late elements recorded
ST00500,Lijmwerk kalkzandsteen elementen,2015-05-26,2015-05-28,51,51,51,51,0,0,100.0,0.0,3,Fully observed,No late elements recorded
