BuildingGUID,GUID,IfcClass,Nl-sfb,Material,TaskID,Resource,TaskName,TaskStart,TaskFinish,Element on time or not,IfcClass_Clean,PlannedDurationDays,BIM_IfcClass,BIM_ElementName,BIM_Description,BIM_ObjectType,BIM_Tag,BIM_TypeName,BIM_BuildingStorey,BIM_HasGeometry,BIM_IfcClass_Clean,Class_Exact_Match,Class_Relationship,Canonical_IfcClass
2CKEPCy9T9zQMKorZoDrni,3iHy1LOhfAtfLt80$LZBqn,IfcSlab,1320_vloeren op grondslag - constructief,IFC_betonvloer_ihw_300mm,ST00060,liftputvloer_(#5715),Stellen bruggetjes,2015-02-26,2015-02-27,On time,slab,2.0,IfcSlab,liftputvloer_(#5715),,,DD46B1BA-CAF2-4D38-9CC0-D94302F9369B,,Storey-1,True,slab,True,Exact match,slab
2CKEPCy9T9zQMKorZoDrni,3iHy1LOhfAtfLt80$LZBqn,IfcSlab,1320_vloeren op grondslag - constructief,IFC_betonvloer_ihw_300mm,ST00070,liftputvloer_(#5715),Nuts invoeren,2015-03-02,2015-03-04,On time,slab,3.0,IfcSlab,liftputvloer_(#5715),,,DD46B1BA-CAF2-4D38-9CC0-D94302F9369B,,Storey-1,True,slab,True,Exact match,slab
2CKEPCy9T9zQMKorZoDrni,3iHy1LOhfAtfLt80$LZBqn,IfcSlab,1320_vloeren op grondslag - constructief,IFC_betonvloer_ihw_300mm,ST00080,liftputvloer_(#5715),Werkvloer liftput,2015-03-03,2015-03-03,On time,slab,1.0,IfcSlab,liftputvloer_(#5715),,,DD46B1BA-CAF2-4D38-9CC0-D94302F9369B,,Storey-1,True,slab,True,Exact match,slab
2CKEPCy9T9zQMKorZoDrni,3iHy1LOhfAtfLt80$LZBqn,IfcSlab,1320_vloeren op grondslag - constructief,IFC_betonvloer_ihw_300mm,ST00100,liftputvloer_(#5715),Bekisten liftvloer,2015-03-04,2015-03-04,On time,slab,1.0,IfcSlab,liftputvloer_(#5715),,,DD46B1BA-CAF2-4D38-9CC0-D94302F9369B,,Storey-1,True,slab,True,Exact match,slab
2CKEPCy9T9zQMKorZoDrni,3iHy1LOhfAtfLt80$LZBqn,IfcSlab,1320_vloeren op grondslag - constructief,IFC_betonvloer_ihw_300mm,ST00090,liftputvloer_(#5715),Wapening liftvloer,2015-03-04,2015-03-04,On time,slab,1.0,IfcSlab,liftputvloer_(#5715),,,DD46B1BA-CAF2-4D38-9CC0-D94302F9369B,,Storey-1,True,slab,True,Exact match,slab
2CKEPCy9T9zQMKorZoDrni,3iHy1LOhfAtfLt80$LZBqn,IfcSlab,1320_vloeren op grondslag - constructief,IFC_betonvloer_ihw_300mm,ST00110,liftputvloer_(#5715),Stort liftvloer,2015-03-05,2015-03-05,On time,slab,1.0,IfcSlab,liftputvloer_(#5715),,,DD46B1BA-CAF2-4D38-9CC0-D94302F9369B,,Storey-1,True,slab,True,Exact match,slab
2CKEPCy9T9zQMKorZoDrni,0n3uFweoDDvekPpYzTttt4,IfcWall,2220_binnenwanden - constructief,IFC_kalkzandsteen_120mm,ST00130,binnenwand_(#44016),Bekisten liftwanden,2015-03-06,2015-03-06,On time,wall,1.0,IfcWall,binnenwand_(#44016),,,7C48E746-13B2-4966-9684-D6C1FC949504,,Storey-1,True,wall,True,Exact match,wall
2CKEPCy9T9zQMKorZoDrni,2rxEfS5c1BRBMAjC9Weumf,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_620x965,ST00130,liftputwand_(#1315),Bekisten liftwanden,2015-03-06,2015-03-06,On time,beam,1.0,IfcBeam,liftputwand_(#1315),,,8C7F5CC1-D0DC-44B2-AF6D-39891BF012B7,,Storey-1,True,beam,True,Exact match,beam
2CKEPCy9T9zQMKorZoDrni,2Y$eh0ohrDEepO4_LPdoEr,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_300x650,ST00130,liftputwand_(#1963),Bekisten liftwanden,2015-03-06,2015-03-06,On time,beam,1.0,IfcBeam,liftputwand_(#1963),,,58C7C77D-0F14-4ABC-827C-A61431FB0ECA,,Storey-1,True,beam,True,Exact match,beam
2CKEPCy9T9zQMKorZoDrni,1naZcReNz7PvhQAmj6Jq3I,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x345,ST00130,liftputwand_(#4278),Bekisten liftwanden,2015-03-06,2015-03-06,On time,beam,1.0,IfcBeam,liftputwand_(#4278),,,37AFC68F-B598-4415-8327-54CC03796CD4,,Storey-1,True,beam,True,Exact match,beam
2CKEPCy9T9zQMKorZoDrni,0_tiSIYEr4yRRHYXKfPTdj,IfcBeam,1610_funderingsconstructies - voeten en balken,IFC_betonopstort_220x345,ST00130,liftputwand_(#4416),Bekisten liftwanden,2015-03-06,2015-03-06,On time,beam,1.0,IfcBeam,liftputwand_(#4416),,,51E41E0F-5917-4C4C-96BF-7A051084C5CB,,Storey-1,True,beam,True,Exact match,beam
