GUID,IfcClass,ElementName,Description,ObjectType,Tag,TypeName,BuildingStorey,HasGeometry
3K0ZfH$5P9$AY9tdZGvNY_,IfcBeam,staal halfspant_(#616505),,,DCED1AAC-D669-4C26-B724-FA92628934FF,,Storey-1,True
2_RPGurtHDWvGWEyfSnyy2,IfcBeam,HEA180_(#698107),,,E7C8FDBC-37F7-4ADD-8C9D-7BDE872CC079,,Storey-1,True
1qWfbRwbT55R6UZM54lizh,IfcBeam,stripstaal 80/8_(#738386),,,89498683-A6D9-4398-BD59-8090C97B0A66,,Storey-1,True
0AjFifcjjCxe8St8Gse3kP,IfcBeam,HEA180_(#696032),,,36A62D19-20D3-4A77-BBC1-E041D20418A7,,Storey-1,True
1dvWk_zfz56uvSpgmdhxb0,IfcBeam,stripstaal 80/8_(#737434),,,1EEED7EA-00C7-4CD0-A808-E10748E93B71,,Storey-1,True
2nIX6Ii5r5thLY4vdkyK64,IfcBeam,betonlatei_(#707716),,,DC26BBDE-D6DB-4239-9EEA-CFC30606EDF2,,Storey-1,True
3ygkl7Rbj3xxKyM$asM5nz,IfcBeam,HEA180_(#697479),,,EE24D06A-638A-4005-885E-08EC70F56291,,Storey-1,True
12ts$iQlDEjxmK1U7TdTyZ,IfcBeam,stripstaal 80/8_(#738890),,,047FD145-8CD8-4703-9FF6-4C18C2CC7B3B,,Storey-1,True
14bEcGLXv2evykeLhVH0kt,IfcBeam,stripstaal 80/8_(#737154),,,3ED975C9-4D2E-4402-88D9-9F6E3215718E,,Storey-1,True
1cCLRMnSDBSgsvWBhFtU_C,IfcBeam,HEA180_(#696350),,,45F3B68A-57FA-440D-9038-0674BFB85916,,Storey-1,True
3zx$z0u55CYQj_kWxCGVBc,IfcBeam,HEA180_(#696842),,,1A6E7C80-F9C1-422E-902B-41DBF5F5E3C5,,Storey-1,True
2feLeCaq51VhN$mUrgaKfE,IfcBeam,stripstaal 80/8_(#738554),,,0E7C1DCB-6F58-4B3C-B144-438B232545EC,,Storey-1,True
2evj3ASODFAhcPVnoOQn6K,IfcBeam,stripstaal 80/8_(#736986),,,6DED8499-810C-476E-9EFD-12E00FA0F393,,Storey-1,True
23Mq28EZ13deDunTR6nhTn,IfcBeam,staal halfspant_(#651385),,,2B9B35E0-0279-4684-81E2-E1FCFE0A6B0E,,Storey-1,True
3ubWWxg$90TflRwndSzFsS,IfcBeam,stripstaal 80/8_(#736842),,,2D11A35A-B512-4AFE-B103-A15350AE1F2F,,Storey-1,True
1qH_7MkY5B3ux_0cHoPcDE,IfcBeam,HEA180_(#697793),,,E87D5AFE-C56A-4504-B3B5-9469DDC188B9,,Storey-1,True
3QGwsd7lb5fxnjWZV2S3kN,IfcBeam,stripstaal 80/8_(#738078),,,1B877A32-B9C0-4711-8056-3FE8E8D9C6D3,,Storey-1,True
3CiIaTSIHDTPgiH36XEMgK,IfcBeam,stripstaal 80/8_(#737294),,,79642D93-FFEE-4985-B669-DE94FBDF4835,,Storey-1,True
