GUID,Number_of_Delayed_Tasks,Delayed_Task_IDs,Delayed_Task_Names,Canonical_IfcClass
00QZwLLXT7$AXr0$Fp9mG3,2,"ST01060, ST01070",Metselwerk,covering
02HIVarzjEeBC9RIQ7iY_p,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
03AldB3qrAAvfaa6RuJUzJ,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
04EF5LiTfA4RZLf0tCb8WH,2,"ST01060, ST01070",Metselwerk,wall
052dUpMfPD09pzHEkKEfal,1,ST01060,Metselwerk,wall
05n126i49269b5MIBTFosu,1,ST01060,Metselwerk,wall
083sSiLcDDjQuLPF7VNdaP,2,"ST01060, ST01070",Metselwerk,wall
09YgJlwtPBZPXVROIrWdz0,1,ST00970,Plaatsen kozijnen,door
0BtjZMmBr4jQ$h_8YbD1eu,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
0G6jFDTXj1wOBP0F9H9SED,1,ST01060,Metselwerk,wall
0GO1TtT4vCm9LdZ0V5HODl,1,ST01060,Metselwerk,wall
0JwKQt9d53DPWNvPH3WQf2,1,ST01060,Metselwerk,wall
0MI_K98an83PrNYwGXJnMb,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
0Qsap_2Uz3QB0nkJJrzxZi,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
0UcKNxAODBLvKDpd549zVh,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
0VUFRCWYz7a9p84p2PrUHf,1,ST01060,Metselwerk,covering
0Vdioymb53rwDlMFXfB5Kt,1,ST01060,Metselwerk,wall
0ZKP7kp499kO5vDBqLnciq,2,"ST01060, ST01070",Metselwerk,covering
0cXyHjurv1a9c0jJJ_GcGw,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
0diEFMaHf7SwXf4XlCfAXQ,1,ST01060,Metselwerk,wall
0fzgTqKXHB7u3sFJJEDAXx,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
0gW6p_9cbDu8bX7gLw9$EM,1,ST00970,Plaatsen kozijnen,door
0lVn$Y_759cQUasvxkXfoO,1,ST00970,Plaatsen kozijnen,door
0mFrlT4jPFoPTUKQY3SIyP,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
0rTlYXMrjEoPv1jZryr$z3,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
0spKItsIH2hgsjBL98YGqU,1,ST00970,Plaatsen kozijnen,window
0w_ZzqJmnFMf_q_OCzrRwH,1,ST01060,Metselwerk,wall
0yzQUXhUj8FA9tVZ4YFuNy,1,ST01060,Metselwerk,wall
11ZB6hVIz4yeF6qGGTqsTK,1,ST01060,Metselwerk,wall
12Ir6WJNL3lBuUu81v4OAd,2,"ST01060, ST01070",Metselwerk,wall
15EjPocPjBOfjKwlixZDyv,1,ST01060,Metselwerk,wall
16qnjc97v4$ezwYviOdqEx,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
17EFWx1vD1Hum5L7gdoSJE,2,"ST01060, ST01070",Metselwerk,wall
17hjpq_pjELgDcIq7GfdNQ,2,"ST01000, ST01060","Metselwerk, Prefab betonband",covering
19FgJIPwD8jucZo6nBllsT,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
1BnpukGqn2OfhJzX1u$fmY,1,ST00970,Plaatsen kozijnen,door
1Djrw09F13cQKRU8ISI2kC,1,ST01060,Metselwerk,wall
1DmBfugHfDovbK1cGlytfG,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
1FIxVjmW5AyuXkZ5BNcSTz,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
1JaSVauAr3DuKBcZP1OHya,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
1JsZEGO116pABACRYwLaXG,1,ST01060,Metselwerk,wall
1RgQmb7jvAARVMAAOA_kBa,1,ST01060,Metselwerk,wall
1U1YAzLAr6du068Uk5p1I9,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
1UIFjOmkL7u8XBXKE6gJD_,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
1USOISjXrBuOW_HozfBLrO,2,"ST01060, ST01070",Metselwerk,wall
1V6WFum2502gB6Zpmwm91M,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
1VpUy6tNbC5v2ybY2e5lF5,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
1YoDLVnx10VeKSiKFxF84M,2,"ST01060, ST01070",Metselwerk,wall
1cLb84f5z659GgMLiRbePM,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
1goPNYBYf6SxalewkScIHW,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
1iFbuwO2zAdeqsgBWxtTnr,2,"ST01000, ST01060","Metselwerk, Prefab betonband",covering
1kyF_ZRC919fQHVmn36MLx,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
1mPkesLxDBJuzeRFDIOlve,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
1mxtkANs9AIxzJfMD63Vpg,2,"ST00510, ST01130","Lijmwerk kalkzandsteen elementen, Plaatsen scharnierkap incl. goot en platte daken",slab
1pZaADAbLDyA52TG3wBVJw,1,ST01060,Metselwerk,wall
1q1$DMbCrE8fMg2GJAc1O4,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
1tfv3CLEz7vePhoqUnnuwC,2,"ST01060, ST01070",Metselwerk,wall
1uDiXkNAD0bA__Hj61ZSaH,2,"ST00950, ST00980","Plaatsen kozijnen, Stelwerk buitengevel",window
1wa9S4OOn4dQHlQyJZR0do,1,ST01060,Metselwerk,wall
1wnkl1qIH8JOvItktWh7KG,2,"ST01060, ST01070",Metselwerk,wall
1wvM6dGsLFa9wMo0HG48jA,1,ST01060,Metselwerk,wall
