GUID,IfcClass,ElementName,Description,ObjectType,Tag,TypeName,BuildingStorey,HasGeometry
3vSAOyJwTEhQMEIJ6D9qRY,IfcBeam,liftputwand,,IFC_betonopstort_220x345 220 x 345,F970A63C-4FA7-4EAD-A58E-49318D2746E2,IFC_betonopstort_220x345 220 x 345,-1 fundering,True
1a49H1hof5wg_s62YvIj$u,IfcBeam,fund_strook,,IFC_strookfundering_2600x550 2600 x 550,64109441-AF2A-45EA-AFB6-1828B94ADFF8,IFC_strookfundering_2600x550 2600 x 550,-1 fundering,True
2501ntWb95m8MEJo4qrYny,IfcBeam,fund_opstort,,IFC_betonopstort_220x315 220 x 315,85001C77-8252-45C0-858E-4F2134D62C7C,IFC_betonopstort_220x315 220 x 315,-1 fundering,True
1HNUZLqr52MQIS8JLIpeyr,IfcBeam,fund_opstort,,IFC_betonopstort_370x315 370 x 315,515DE8D5-D351-4259-A49C-213552CE8F35,IFC_betonopstort_370x315 370 x 315,-1 fundering,True
3yL4PuBWf5GQngGRpOzQj0,IfcBeam,fund_opstort,,IFC_betonopstort_220x315 220 x 315,FC544678-2E0A-4541-AC6A-41BCD8F5AB40,IFC_betonopstort_220x315 220 x 315,-1 fundering,True
2CVrp1qDn4igzjEOaRy1At,IfcBeam,liftputwand,,IFC_betonopstort_620x965 620 x 965,8C7F5CC1-D0DC-44B2-AF6D-39891BF012B7,IFC_betonopstort_620x965 620 x 965,-1 fundering,True
1c9iYd1ID6_8SdfF0_$1oL,IfcBeam,fund_opstort,,IFC_betonopstort_330x315 330 x 315,6626C8A7-0523-46F8-8727-A4F03EFC1C95,IFC_betonopstort_330x315 330 x 315,-1 fundering,True
3rCiBKKhrDwwbew3HLeWaY,IfcBeam,fund_opstort,,IFC_betonopstort_330x315 330 x 315,F532C2D4-52BD-4DEB-A968-E83455A20922,IFC_betonopstort_330x315 330 x 315,-1 fundering,True
24n0GKaSvFeRV3aNSSwJju,IfcBeam,fund_opstort,,IFC_betonopstort_150x315 150 x 315,84C40414-91CE-4FA1-B7C3-91771CE93B78,IFC_betonopstort_150x315 150 x 315,-1 fundering,True
1OnyTz3nHAl89yfXGn_mxA,IfcBeam,liftputwand,,IFC_betonopstort_300x650 300 x 650,58C7C77D-0F14-4ABC-827C-A61431FB0ECA,IFC_betonopstort_300x650 300 x 650,-1 fundering,True
0dG$USXzf0kfosAbNzx0hZ,IfcBeam,fund_opstort,,IFC_betonopstort_220x315 220 x 315,2743F79C-87DA-40BA-9CB6-2A55FDEC0AE3,IFC_betonopstort_220x315 220 x 315,-1 fundering,True
2ccM307sn8XeBTwsFKE_pR,IfcBeam,fund_opstort,,IFC_betonopstort_330x315 330 x 315,A69960C0-1F6C-4886-82DD-EB63D43BECDB,IFC_betonopstort_330x315 330 x 315,-1 fundering,True
2Ye2fKnjXAEftAAecRMNfV,IfcBeam,fund_opstort,,IFC_betonopstort_600x315 600 x 315,A2A02A54-C6D8-4A3A-9DCA-2A899B597A5F,IFC_betonopstort_600x315 600 x 315,-1 fundering,True
2QLBwuZDfEmuESkiT_yymc,IfcBeam,fund_opstort,,IFC_betonopstort_370x315 370 x 315,9A54BEB8-8CDA-4EC3-839C-BAC77EF3CC26,IFC_betonopstort_370x315 370 x 315,-1 fundering,True
0aWtcM$1j1$wMs6qq3amY0,IfcBeam,fund_opstort,,IFC_betonopstort_220x315 220 x 315,24837996-FC1B-41FF-A5B6-1B4D03930880,IFC_betonopstort_220x315 220 x 315,-1 fundering,True
21JedoyDf1jg7ixONhPH5B,IfcBeam,fund_opstort,,IFC_betonopstort_220x315 220 x 315,814E89F2-F0DA-41B6-A1EC-ED85EB65114B,IFC_betonopstort_220x315 220 x 315,-1 fundering,True
1o34KGWg5AnRTiJOhwQVdk,IfcBeam,fund_opstort,,IFC_betonopstort_150x315 150 x 315,720C4510-82A1-4AC5-B76C-4D8AFA69F9EE,IFC_betonopstort_150x315 150 x 315,-1 fundering,True
